Brand,Model,Fuel,Car Age,Trasmission,Color,Price,grouping
Alfa Romeo,146,Benzine,25.0,Manual,Dark red,84.0,Alfa Romeo 146 Benzine Manual 25.0
Alfa Romeo,146,Benzine,26.0,Manual,Green,55.0,Alfa Romeo 146 Benzine Manual 26.0
Alfa Romeo,146,Benzine,26.0,Manual,Red,120.0,Alfa Romeo 146 Benzine Manual 26.0
Alfa Romeo,146,Benzine,27.0,Manual,Black,83.0,Alfa Romeo 146 Benzine Manual 27.0
Alfa Romeo,146,Benzine,27.0,Manual,Gold,60.0,Alfa Romeo 146 Benzine Manual 27.0
Alfa Romeo,146,Benzine,27.0,Manual,Petroleum,80.0,Alfa Romeo 146 Benzine Manual 27.0
Alfa Romeo,156,Benzine,19.0,Automatic,Red,250.0,Alfa Romeo 156 Benzine Automatic 19.0
Alfa Romeo,Giulia,Benzine,3.0,Automatic,Blue,1000.0,Alfa Romeo Giulia Benzine Automatic 3.0
Alfa Romeo,Giulietta,Benzine,8.0,Automatic,Silver,750.0,Alfa Romeo Giulietta Benzine Automatic 8.0
Alfa Romeo,Stelvio,Benzine,5.0,Automatic,Silver,1200.0,Alfa Romeo Stelvio Benzine Automatic 5.0
Aston Martin,Rapide S,Benzine,7.0,Automatic,Silver,4500.0,Aston Martin Rapide S Benzine Automatic 7.0
Audi,100,Benzine,43.0,Manual,Gray,40.0,Audi 100 Benzine Manual 43.0
Audi,80,Benzine,28.0,Manual,Black,85.0,Audi 80 Benzine Manual 28.0
Audi,80,Benzine,31.0,Manual,Green,125.0,Audi 80 Benzine Manual 31.0
Audi,80,Benzine,31.0,Manual,Silver,98.0,Audi 80 Benzine Manual 31.0
Audi,80,Benzine,42.0,Manual,Blue,32.0,Audi 80 Benzine Manual 42.0
Audi,A1,Benzine,10.0,Automatic,Red,625.0,Audi A1 Benzine Automatic 10.0
Audi,A3,Benzine,0.0,Automatic,Blue,1500.0,Audi A3 Benzine Automatic 0.0
Audi,A3,Benzine,1.0,Automatic,Black,1495.0,Audi A3 Benzine Automatic 1.0
Audi,A3,Benzine,1.0,Automatic,White,1675.0,Audi A3 Benzine Automatic 1.0
Audi,A3,Benzine,3.0,Automatic,Black,1125.0,Audi A3 Benzine Automatic 3.0
Audi,A3,Benzine,3.0,Automatic,White,1083.3333333333333,Audi A3 Benzine Automatic 3.0
Audi,A3,Benzine,4.0,Automatic,Light grey,870.0,Audi A3 Benzine Automatic 4.0
Audi,A3,Benzine,4.0,Automatic,Silver,800.0,Audi A3 Benzine Automatic 4.0
Audi,A3,Benzine,6.0,Automatic,Black,825.0,Audi A3 Benzine Automatic 6.0
Audi,A3,Benzine,7.0,Automatic,Blue,650.0,Audi A3 Benzine Automatic 7.0
Audi,A3,Benzine,7.0,Automatic,Dark blue,775.0,Audi A3 Benzine Automatic 7.0
Audi,A3,Benzine,8.0,Automatic,Blue,610.0,Audi A3 Benzine Automatic 8.0
Audi,A3,Benzine,9.0,Automatic,Silver,565.0,Audi A3 Benzine Automatic 9.0
Audi,A4,Benzine,0.0,Automatic,Black,2250.0,Audi A4 Benzine Automatic 0.0
Audi,A4,Benzine,1.0,Automatic,Dark blue,2000.0,Audi A4 Benzine Automatic 1.0
Audi,A4,Benzine,2.0,Automatic,Dark blue,2400.0,Audi A4 Benzine Automatic 2.0
Audi,A4,Benzine,4.0,Automatic,Silver,1350.0,Audi A4 Benzine Automatic 4.0
Audi,A4,Benzine,6.0,Automatic,Silver,1050.0,Audi A4 Benzine Automatic 6.0
Audi,A4,Benzine,12.0,Automatic,Black,700.0,Audi A4 Benzine Automatic 12.0
Audi,A4,Benzine,13.0,Automatic,Black,520.0,Audi A4 Benzine Automatic 13.0
Audi,A4,Benzine,19.0,Automatic,Silver,300.0,Audi A4 Benzine Automatic 19.0
Audi,A4,Benzine,28.0,Manual,Red,105.0,Audi A4 Benzine Manual 28.0
Audi,A5,Benzine,0.0,Automatic,Blue,2350.0,Audi A5 Benzine Automatic 0.0
Audi,A5,Benzine,4.0,Automatic,Black,1600.0,Audi A5 Benzine Automatic 4.0
Audi,A5,Benzine,4.0,Automatic,Silver,1950.0,Audi A5 Benzine Automatic 4.0
Audi,A5,Benzine,7.0,Automatic,Black,1050.0,Audi A5 Benzine Automatic 7.0
Audi,A6,Benzine,0.0,Automatic,Dark blue,3275.0,Audi A6 Benzine Automatic 0.0
Audi,A6,Benzine,3.0,Automatic,Dark blue,1900.0,Audi A6 Benzine Automatic 3.0
Audi,A6,Benzine,3.0,Automatic,White,1850.0,Audi A6 Benzine Automatic 3.0
Audi,A6,Benzine,16.0,Automatic,Silver,550.0,Audi A6 Benzine Automatic 16.0
Audi,A6,Benzine,27.0,Automatic,Black,120.0,Audi A6 Benzine Automatic 27.0
Audi,Q2,Benzine,3.0,Automatic,Black,750.0,Audi Q2 Benzine Automatic 3.0
Audi,Q2,Benzine,3.0,Automatic,White,1000.0,Audi Q2 Benzine Automatic 3.0
Audi,Q3,Benzine,0.0,Automatic,White,1545.0,Audi Q3 Benzine Automatic 0.0
Audi,Q3,Benzine,1.0,Automatic,Black,1800.0,Audi Q3 Benzine Automatic 1.0
Audi,Q3,Benzine,1.0,Automatic,Blue,2400.0,Audi Q3 Benzine Automatic 1.0
Audi,Q3,Benzine,1.0,Automatic,Cyan,1875.0,Audi Q3 Benzine Automatic 1.0
